ori,fips_state_county_code
CO00100,08001
CO00101,08005
CO00102,08001
CO00103,08001
CO00104,08001
CO00105,08001
CO00106,08001
CO00108,08001
CO00111,08005
CO00201,08003
CO00202,08003
CO00300,08005
CO00301,08005
CO00302,08005
CO00303,08005
CO00304,08005
CO00305,08005
CO00306,08005
CO00307,08005
CO00308,08005
CO00309,08005
CO00311,08005
CO00400,08007
CO00401,08007
CO00500,08009
CO00501,08009
CO00507,08009
CO00600,08011
CO00700,08013
CO00701,08013
CO00703,08013
CO00704,08013
CO00705,08013
CO00706,08013
CO00708,08013
CO00800,08015
CO00801,08015
CO00802,08015
CO00900,08017
CO01000,08019
CO01001,08019
CO01300,08025
CO01400,08027
CO01500,08029
CO01501,08029
CO01503,08029
CO01602,08031
CO01700,08033
CO01800,08035
CO01801,08035
CO01805,08035
CO01807,08035
CO01900,08037
CO01901,08037
CO01902,08037
CO01904,08037
CO01906,08037
CO01910,
CO02000,08039
CO02001,08039
CO02002,08039
CO02100,08041
CO02101,08041
CO02102,08041
CO02103,08041
CO02104,08041
CO02105,08041
CO02109,08041
CO02110,08041
CO02200,08043
CO02201,08043
CO02202,08043
CO02300,08045
CO02301,08045
CO02302,08045
CO02303,08045
CO02304,08045
CO02305,08045
CO02306,08045
CO02400,08047
CO02402,08047
CO02500,08049
CO02501,08049
CO02504,08049
CO02600,08051
CO02601,08051
CO02602,08051
CO02603,08051
CO02700,08053
CO02800,08055
CO02900,08057
CO03000,08059
CO03001,08059
CO03002,08059
CO03003,08059
CO03004,08059
CO03005,08059
CO03006,08059
CO03008,08059
CO03009,08059
CO03010,08059
CO03100,08061
CO03200,08063
CO03201,08063
CO03300,08065
CO03301,08065
CO03400,08067
CO03401,08067
CO03402,08067
CO03403,08067
CO03404,08067
CO03405,08067
CO03480,08067
CO03500,08069
CO03502,08069
CO03503,08069
CO03504,08069
CO03505,08069
CO03510,08069
CO03600,08071
CO03601,08071
CO03700,08073
CO03701,08073
CO03702,08073
CO03800,08075
CO03801,08075
CO03900,08077
CO03901,08077
CO03902,08077
CO03903,08077
CO04100,08081
CO04101,08081
CO04180,
CO04200,08083
CO04201,08083
CO04202,08083
CO04300,08085
CO04301,08085
CO04304,08085
CO04380,08085
CO04400,08087
CO04401,08087
CO04402,08087
CO04404,08087
CO04500,08089
CO04501,08089
CO04504,08089
CO04601,08091
CO04602,08091
CO04700,08093
CO04701,08093
CO04800,08095
CO04801,08095
CO04802,08095
CO04900,08097
CO04901,08097
CO04902,08097
CO05000,08099
CO05001,08099
CO05100,08101
CO05101,08101
CO05102,08101
CO05200,08103
CO05201,08103
CO05202,08103
CO05300,08105
CO05301,08105
CO05302,08105
CO05303,08105
CO05400,08107
CO05401,08107
CO05402,08107
CO05403,08107
CO05501,08109
CO05600,08111
CO05700,08113
CO05701,08113
CO05703,
CO05800,08115
CO05900,08117
CO05901,08117
CO05902,08117
CO05903,08117
CO05904,08117
CO05905,08117
CO06000,08119
CO06001,08119
CO06002,08119
CO06100,08121
CO06200,08123
CO06201,08123
CO06202,08123
CO06203,08123
CO06204,08123
CO06205,08123
CO06206,08123
CO06207,08123
CO06208,08123
CO06209,08123
CO06210,08123
CO06211,08123
CO06212,08123
CO06213,08123
CO06216,08123
CO06217,08123
CO06218,08123
CO06224,08123
CO06226,08123
CO06228,08123
CO06300,08125
CO06301,08125
CO06302,08125
CO06401,08014
COCBI00,08031
COCSP00,08031
CODI011,08083
CODPD00,08031
CO00200,08003
CO01002,08019
CO01003,08019
CO01100,08021
CO01105,08021
CO01200,08023
CO01502,08029
CO01504,08029
CO01604,08031
CO02106,08041
CO02107,08041
CO02503,08049
CO02802,08055
CO03007,08059
CO03202,08063
CO03904,08077
CO03909,08077
CO04000,08079
CO04102,08081
CO04204,
CO04403,08087
CO04502,08089
CO04503,08089
CO04600,08091
CO05500,08109
CO06219,08123
CO06220,08123
CO06227,08123
CO06229,08123
COCSP01,
COCSP03,
COCSP12,
COCSP16,
COSS402,08031
CO05004,08099
