month,year,fips_state_county_code,population
april,2019,08001,466854
april,2019,08013,317073
april,2019,08014,70798
april,2019,08031,728941
april,2019,08041,722447
april,2020,08001,470626
april,2020,08013,315516
april,2020,08014,71795
april,2020,08031,737709
april,2020,08041,726916
august,2019,08001,466854
august,2019,08013,317073
august,2019,08014,70798
august,2019,08031,728941
august,2019,08041,722447
august,2020,08001,470626
august,2020,08013,315516
august,2020,08014,71795
august,2020,08031,737709
august,2020,08041,726916
december,2019,08001,466854
december,2019,08013,317073
december,2019,08014,70798
december,2019,08031,728941
december,2019,08041,722447
december,2020,08001,470626
december,2020,08013,315516
december,2020,08014,71795
december,2020,08031,737709
december,2020,08041,726916
february,2019,08001,466854
february,2019,08013,317073
february,2019,08014,70798
february,2019,08031,728941
february,2019,08041,722447
february,2020,08001,470626
february,2020,08013,315516
february,2020,08014,71795
february,2020,08031,737709
february,2020,08041,726916
january,2019,08001,466854
january,2019,08013,317073
january,2019,08014,70798
january,2019,08031,728941
january,2019,08041,722447
january,2020,08001,470626
january,2020,08013,315516
january,2020,08014,71795
january,2020,08031,737709
january,2020,08041,726916
july,2019,08001,466854
july,2019,08013,317073
july,2019,08014,70798
july,2019,08031,728941
july,2019,08041,722447
july,2020,08001,470626
july,2020,08013,315516
july,2020,08014,71795
july,2020,08031,737709
july,2020,08041,726916
june,2019,08001,466854
june,2019,08013,317073
june,2019,08014,70798
june,2019,08031,728941
june,2019,08041,722447
june,2020,08001,470626
june,2020,08013,315516
june,2020,08014,71795
june,2020,08031,737709
june,2020,08041,726916
march,2019,08001,466854
march,2019,08013,317073
march,2019,08014,70798
march,2019,08031,728941
march,2019,08041,722447
march,2020,08001,470626
march,2020,08013,315516
march,2020,08014,71795
march,2020,08031,737709
march,2020,08041,726916
may,2019,08001,466854
may,2019,08013,317073
may,2019,08014,70798
may,2019,08031,728941
may,2019,08041,722447
may,2020,08001,470626
may,2020,08013,315516
may,2020,08014,71795
may,2020,08031,737709
may,2020,08041,726916
november,2019,08001,466854
november,2019,08013,317073
november,2019,08014,70798
november,2019,08031,728941
november,2019,08041,722447
november,2020,08001,470626
november,2020,08013,315516
november,2020,08014,71795
november,2020,08031,737709
november,2020,08041,726916
october,2019,08001,466854
october,2019,08013,317073
october,2019,08014,70798
october,2019,08031,728941
october,2019,08041,722447
october,2020,08001,470626
october,2020,08013,315516
october,2020,08014,71795
october,2020,08031,737709
october,2020,08041,726916
september,2019,08001,466854
september,2019,08013,317073
september,2019,08014,70798
september,2019,08031,728941
september,2019,08041,722447
september,2020,08001,470626
september,2020,08013,315516
september,2020,08014,71795
september,2020,08031,737709
september,2020,08041,726916
